id,name,slug,category__name,description,price,original_price,stock,brand,sku,is_active,is_featured,meta_keywords,meta_description
11,Smart LED Desk Lamp Plus,smart-led-desk-lamp-plus,Electronics,High-quality Smart LED Desk Lamp Plus from Smart. Perfect for everyday use with premium features. Available in multiple colors and sizes.,191.01,218.82,51,Smart,ELE-SMA-00011,True,True,"Smart LED Desk Lamp Plus, Electronics, Smart, affordable, quality",Buy Smart LED Desk Lamp Plus online. Premium quality product at best price. Smart - trusted brand.
12,Pro Monitor Premium,pro-monitor-premium,Electronics,High-quality Pro Monitor Premium from Pro. Perfect for everyday use with premium features. Available in multiple colors and sizes.,226.64,250.57,31,Pro,ELE-PRO-00012,True,False,"Pro Monitor Premium, Electronics, Pro, affordable, quality",Buy Pro Monitor Premium online. Premium quality product at best price. Pro - trusted brand.
13,tech Phone Case,tech-phone-case,Electronics,High-quality tech Phone Case from tech. Perfect for everyday use with premium features. Available in multiple colors and sizes.,467.65,657.05,25,tech,ELE-TEC-00013,False,True,"tech Phone Case, Electronics, tech, affordable, quality",Buy tech Phone Case online. Premium quality product at best price. tech - trusted brand.
14,tech Phone Mount Premium,tech-phone-mount-premium,Electronics,High-quality tech Phone Mount Premium from tech. Perfect for everyday use with premium features. Available in multiple colors and sizes.,175.24,214.04,54,tech,ELE-TEC-00014,False,False,"tech Phone Mount Premium, Electronics, tech, affordable, quality",Buy tech Phone Mount Premium online. Premium quality product at best price. tech - trusted brand.
15,BrandX LED Desk Lamp,brandx-led-desk-lamp,Electronics,High-quality BrandX LED Desk Lamp from BrandX. Perfect for everyday use with premium features. Available in multiple colors and sizes.,28.22,40.64,90,BrandX,ELE-BRA-00015,True,False,"BrandX LED Desk Lamp, Electronics, BrandX, affordable, quality",Buy BrandX LED Desk Lamp online. Premium quality product at best price. BrandX - trusted brand.
16,Elite Mechanical Keyboard Standard,elite-mechanical-keyboard-standard,Electronics,High-quality Elite Mechanical Keyboard Standard from Elite. Perfect for everyday use with premium features. Available in multiple colors and sizes.,202.5,243.93,53,Elite,ELE-ELI-00016,True,False,"Elite Mechanical Keyboard Standard, Electronics, Elite, affordable, quality",Buy Elite Mechanical Keyboard Standard online. Premium quality product at best price. Elite - trusted brand.
17,Pro Webcam HD Lite,pro-webcam-hd-lite,Electronics,High-quality Pro Webcam HD Lite from Pro. Perfect for everyday use with premium features. Available in multiple colors and sizes.,140.14,189.75,41,Pro,ELE-PRO-00017,True,False,"Pro Webcam HD Lite, Electronics, Pro, affordable, quality",Buy Pro Webcam HD Lite online. Premium quality product at best price. Pro - trusted brand.
18,Organic Phone Case Max,organic-phone-case-max,Electronics,High-quality Organic Phone Case Max from Organic. Perfect for everyday use with premium features. Available in multiple colors and sizes.,404.63,506.54,89,Organic,ELE-ORG-00018,True,True,"Organic Phone Case Max, Electronics, Organic, affordable, quality",Buy Organic Phone Case Max online. Premium quality product at best price. Organic - trusted brand.
19,value USB-C Cable Max,value-usb-c-cable-max,Electronics,High-quality value USB-C Cable Max from value. Perfect for everyday use with premium features. Available in multiple colors and sizes.,173.2,197.36,12,value,ELE-VAL-00019,True,False,"value USB-C Cable Max, Electronics, value, affordable, quality",Buy value USB-C Cable Max online. Premium quality product at best price. value - trusted brand.
20,Classic Gaming Mouse Premium,classic-gaming-mouse-premium,Electronics,High-quality Classic Gaming Mouse Premium from Classic. Perfect for everyday use with premium features. Available in multiple colors and sizes.,157.76,177.52,45,Classic,ELE-CLA-00020,True,False,"Classic Gaming Mouse Premium, Electronics, Classic, affordable, quality",Buy Classic Gaming Mouse Premium online. Premium quality product at best price. Classic - trusted brand.
21,eco Charger Fast Premium,eco-charger-fast-premium,Electronics,High-quality eco Charger Fast Premium from eco. Perfect for everyday use with premium features. Available in multiple colors and sizes.,289.14,417.55,65,eco,ELE-ECO-00021,True,True,"eco Charger Fast Premium, Electronics, eco, affordable, quality",Buy eco Charger Fast Premium online. Premium quality product at best price. eco - trusted brand.
22,Classic Monitor Lite,classic-monitor-lite,Electronics,High-quality Classic Monitor Lite from Classic. Perfect for everyday use with premium features. Available in multiple colors and sizes.,389.33,440.07,98,Classic,ELE-CLA-00022,True,False,"Classic Monitor Lite, Electronics, Classic, affordable, quality",Buy Classic Monitor Lite online. Premium quality product at best price. Classic - trusted brand.
23,luxury Charger Fast Plus,luxury-charger-fast-plus,Electronics,High-quality luxury Charger Fast Plus from luxury. Perfect for everyday use with premium features. Available in multiple colors and sizes.,85.82,112.69,0,luxury,ELE-LUX-00023,True,False,"luxury Charger Fast Plus, Electronics, luxury, affordable, quality",Buy luxury Charger Fast Plus online. Premium quality product at best price. luxury - trusted brand.
24,Smart Wireless Earbuds Plus,smart-wireless-earbuds-plus,Electronics,High-quality Smart Wireless Earbuds Plus from Smart. Perfect for everyday use with premium features. Available in multiple colors and sizes.,147.61,192.63,90,Smart,ELE-SMA-00024,True,False,"Smart Wireless Earbuds Plus, Electronics, Smart, affordable, quality",Buy Smart Wireless Earbuds Plus online. Premium quality product at best price. Smart - trusted brand.
25,Premium Bluetooth Speaker Premium,premium-bluetooth-speaker-premium,Electronics,High-quality Premium Bluetooth Speaker Premium from Premium. Perfect for everyday use with premium features. Available in multiple colors and sizes.,126.6,144.83,68,Premium,ELE-PRE-00025,True,False,"Premium Bluetooth Speaker Premium, Electronics, Premium, affordable, quality",Buy Premium Bluetooth Speaker Premium online. Premium quality product at best price. Premium - trusted brand.
26,quality Cable Organizer,quality-cable-organizer,Electronics,High-quality quality Cable Organizer from quality. Perfect for everyday use with premium features. Available in multiple colors and sizes.,403.14,580.79,73,quality,ELE-QUA-00026,False,False,"quality Cable Organizer, Electronics, quality, affordable, quality",Buy quality Cable Organizer online. Premium quality product at best price. quality - trusted brand.
27,basic Webcam HD Lite,basic-webcam-hd-lite,Electronics,High-quality basic Webcam HD Lite from basic. Perfect for everyday use with premium features. Available in multiple colors and sizes.,459.52,537.71,28,basic,ELE-BAS-00027,True,False,"basic Webcam HD Lite, Electronics, basic, affordable, quality",Buy basic Webcam HD Lite online. Premium quality product at best price. basic - trusted brand.
28,Classic USB-C Cable Standard,classic-usb-c-cable-standard,Electronics,High-quality Classic USB-C Cable Standard from Classic. Perfect for everyday use with premium features. Available in multiple colors and sizes.,374.63,493.9,55,Classic,ELE-CLA-00028,True,False,"Classic USB-C Cable Standard, Electronics, Classic, affordable, quality",Buy Classic USB-C Cable Standard online. Premium quality product at best price. Classic - trusted brand.
29,comfort Power Bank Pro,comfort-power-bank-pro,Electronics,High-quality comfort Power Bank Pro from comfort. Perfect for everyday use with premium features. Available in multiple colors and sizes.,311.94,424.42,11,comfort,ELE-COM-00029,True,False,"comfort Power Bank Pro, Electronics, comfort, affordable, quality",Buy comfort Power Bank Pro online. Premium quality product at best price. comfort - trusted brand.
30,value Bluetooth Speaker Lite,value-bluetooth-speaker-lite,Electronics,High-quality value Bluetooth Speaker Lite from value. Perfect for everyday use with premium features. Available in multiple colors and sizes.,223.09,291.77,8,value,ELE-VAL-00030,False,False,"value Bluetooth Speaker Lite, Electronics, value, affordable, quality",Buy value Bluetooth Speaker Lite online. Premium quality product at best price. value - trusted brand.
31,standard Mechanical Keyboard Premium,standard-mechanical-keyboard-premium,Electronics,High-quality standard Mechanical Keyboard Premium from standard. Perfect for everyday use with premium features. Available in multiple colors and sizes.,265.11,305.59,55,standard,ELE-STA-00031,False,False,"standard Mechanical Keyboard Premium, Electronics, standard, affordable, quality",Buy standard Mechanical Keyboard Premium online. Premium quality product at best price. standard - trusted brand.
32,Smart Charger Fast Pro,smart-charger-fast-pro,Electronics,High-quality Smart Charger Fast Pro from Smart. Perfect for everyday use with premium features. Available in multiple colors and sizes.,33.82,46.25,76,Smart,ELE-SMA-00032,False,False,"Smart Charger Fast Pro, Electronics, Smart, affordable, quality",Buy Smart Charger Fast Pro online. Premium quality product at best price. Smart - trusted brand.
33,BrandX Webcam HD Pro,brandx-webcam-hd-pro,Electronics,High-quality BrandX Webcam HD Pro from BrandX. Perfect for everyday use with premium features. Available in multiple colors and sizes.,401.18,501.95,90,BrandX,ELE-BRA-00033,True,False,"BrandX Webcam HD Pro, Electronics, BrandX, affordable, quality",Buy BrandX Webcam HD Pro online. Premium quality product at best price. BrandX - trusted brand.
34,Pro Tank Top Lite,pro-tank-top-lite,Clothing,High-quality Pro Tank Top Lite from Pro. Perfect for everyday use with premium features. Available in multiple colors and sizes.,267.85,345.05,45,Pro,CLO-PRO-00034,True,False,"Pro Tank Top Lite, Clothing, Pro, affordable, quality",Buy Pro Tank Top Lite online. Premium quality product at best price. Pro - trusted brand.
35,eco Sweater Premium,eco-sweater-premium,Clothing,High-quality eco Sweater Premium from eco. Perfect for everyday use with premium features. Available in multiple colors and sizes.,493.94,572.39,2,eco,CLO-ECO-00035,True,True,"eco Sweater Premium, Clothing, eco, affordable, quality",Buy eco Sweater Premium online. Premium quality product at best price. eco - trusted brand.
36,BrandX Jeans Lite,brandx-jeans-lite,Clothing,High-quality BrandX Jeans Lite from BrandX. Perfect for everyday use with premium features. Available in multiple colors and sizes.,434.89,558.08,7,BrandX,CLO-BRA-00036,True,False,"BrandX Jeans Lite, Clothing, BrandX, affordable, quality",Buy BrandX Jeans Lite online. Premium quality product at best price. BrandX - trusted brand.
37,value Hoodie Max,value-hoodie-max,Clothing,High-quality value Hoodie Max from value. Perfect for everyday use with premium features. Available in multiple colors and sizes.,11.98,15.12,96,value,CLO-VAL-00037,True,False,"value Hoodie Max, Clothing, value, affordable, quality",Buy value Hoodie Max online. Premium quality product at best price. value - trusted brand.
38,style Jacket Ultra,style-jacket-ultra,Clothing,High-quality style Jacket Ultra from style. Perfect for everyday use with premium features. Available in multiple colors and sizes.,43.01,50.78,57,style,CLO-STY-00038,True,False,"style Jacket Ultra, Clothing, style, affordable, quality",Buy style Jacket Ultra online. Premium quality product at best price. style - trusted brand.
39,Organic Sweater Ultra,organic-sweater-ultra,Clothing,High-quality Organic Sweater Ultra from Organic. Perfect for everyday use with premium features. Available in multiple colors and sizes.,152.82,181.32,43,Organic,CLO-ORG-00039,True,False,"Organic Sweater Ultra, Clothing, Organic, affordable, quality",Buy Organic Sweater Ultra online. Premium quality product at best price. Organic - trusted brand.
40,Pro Jacket,pro-jacket,Clothing,High-quality Pro Jacket from Pro. Perfect for everyday use with premium features. Available in multiple colors and sizes.,436.52,566.69,4,Pro,CLO-PRO-00040,True,True,"Pro Jacket, Clothing, Pro, affordable, quality",Buy Pro Jacket online. Premium quality product at best price. Pro - trusted brand.
41,Premium Jacket Standard,premium-jacket-standard,Clothing,High-quality Premium Jacket Standard from Premium. Perfect for everyday use with premium features. Available in multiple colors and sizes.,277.61,377.04,60,Premium,CLO-PRE-00041,False,False,"Premium Jacket Standard, Clothing, Premium, affordable, quality",Buy Premium Jacket Standard online. Premium quality product at best price. Premium - trusted brand.
42,Premium Polo Ultra,premium-polo-ultra,Clothing,High-quality Premium Polo Ultra from Premium. Perfect for everyday use with premium features. Available in multiple colors and sizes.,329.51,428.35,46,Premium,CLO-PRE-00042,True,True,"Premium Polo Ultra, Clothing, Premium, affordable, quality",Buy Premium Polo Ultra online. Premium quality product at best price. Premium - trusted brand.
43,Ultra Hoodie Ultra,ultra-hoodie-ultra,Clothing,High-quality Ultra Hoodie Ultra from Ultra. Perfect for everyday use with premium features. Available in multiple colors and sizes.,64.64,81.32,68,Ultra,CLO-ULT-00043,True,False,"Ultra Hoodie Ultra, Clothing, Ultra, affordable, quality",Buy Ultra Hoodie Ultra online. Premium quality product at best price. Ultra - trusted brand.
44,Organic Dress Max,organic-dress-max,Clothing,High-quality Organic Dress Max from Organic. Perfect for everyday use with premium features. Available in multiple colors and sizes.,348.24,384.11,92,Organic,CLO-ORG-00044,True,True,"Organic Dress Max, Clothing, Organic, affordable, quality",Buy Organic Dress Max online. Premium quality product at best price. Organic - trusted brand.
45,Ultra Jacket Pro,ultra-jacket-pro,Clothing,High-quality Ultra Jacket Pro from Ultra. Perfect for everyday use with premium features. Available in multiple colors and sizes.,207.47,311.12,94,Ultra,CLO-ULT-00045,False,False,"Ultra Jacket Pro, Clothing, Ultra, affordable, quality",Buy Ultra Jacket Pro online. Premium quality product at best price. Ultra - trusted brand.
46,Organic Cargo Pants Pro,organic-cargo-pants-pro,Clothing,High-quality Organic Cargo Pants Pro from Organic. Perfect for everyday use with premium features. Available in multiple colors and sizes.,51.7,70.1,18,Organic,CLO-ORG-00046,True,False,"Organic Cargo Pants Pro, Clothing, Organic, affordable, quality",Buy Organic Cargo Pants Pro online. Premium quality product at best price. Organic - trusted brand.
47,Elite Cargo Pants Premium,elite-cargo-pants-premium,Clothing,High-quality Elite Cargo Pants Premium from Elite. Perfect for everyday use with premium features. Available in multiple colors and sizes.,240.92,302.94,9,Elite,CLO-ELI-00047,True,False,"Elite Cargo Pants Premium, Clothing, Elite, affordable, quality",Buy Elite Cargo Pants Premium online. Premium quality product at best price. Elite - trusted brand.
48,Classic Cargo Pants Premium,classic-cargo-pants-premium,Clothing,High-quality Classic Cargo Pants Premium from Classic. Perfect for everyday use with premium features. Available in multiple colors and sizes.,52.07,75.86,98,Classic,CLO-CLA-00048,True,False,"Classic Cargo Pants Premium, Clothing, Classic, affordable, quality",Buy Classic Cargo Pants Premium online. Premium quality product at best price. Classic - trusted brand.
49,tech Leggings Premium,tech-leggings-premium,Clothing,High-quality tech Leggings Premium from tech. Perfect for everyday use with premium features. Available in multiple colors and sizes.,268.64,343.38,94,tech,CLO-TEC-00049,True,False,"tech Leggings Premium, Clothing, tech, affordable, quality",Buy tech Leggings Premium online. Premium quality product at best price. tech - trusted brand.
50,Premium Tank Top Max,premium-tank-top-max,Clothing,High-quality Premium Tank Top Max from Premium. Perfect for everyday use with premium features. Available in multiple colors and sizes.,208.05,281.7,50,Premium,CLO-PRE-00050,False,False,"Premium Tank Top Max, Clothing, Premium, affordable, quality",Buy Premium Tank Top Max online. Premium quality product at best price. Premium - trusted brand.
51,Premium Jeans Max,premium-jeans-max,Clothing,High-quality Premium Jeans Max from Premium. Perfect for everyday use with premium features. Available in multiple colors and sizes.,319.51,431.5,85,Premium,CLO-PRE-00051,True,False,"Premium Jeans Max, Clothing, Premium, affordable, quality",Buy Premium Jeans Max online. Premium quality product at best price. Premium - trusted brand.
52,Ultra Hoodie Lite,ultra-hoodie-lite,Clothing,High-quality Ultra Hoodie Lite from Ultra. Perfect for everyday use with premium features. Available in multiple colors and sizes.,150.44,180.57,23,Ultra,CLO-ULT-00052,True,True,"Ultra Hoodie Lite, Clothing, Ultra, affordable, quality",Buy Ultra Hoodie Lite online. Premium quality product at best price. Ultra - trusted brand.
53,Classic Leggings Standard,classic-leggings-standard,Clothing,High-quality Classic Leggings Standard from Classic. Perfect for everyday use with premium features. Available in multiple colors and sizes.,154.44,174.68,99,Classic,CLO-CLA-00053,True,True,"Classic Leggings Standard, Clothing, Classic, affordable, quality",Buy Classic Leggings Standard online. Premium quality product at best price. Classic - trusted brand.
54,Pro Hoodie Standard,pro-hoodie-standard,Clothing,High-quality Pro Hoodie Standard from Pro. Perfect for everyday use with premium features. Available in multiple colors and sizes.,90.69,127.17,69,Pro,CLO-PRO-00054,True,False,"Pro Hoodie Standard, Clothing, Pro, affordable, quality",Buy Pro Hoodie Standard online. Premium quality product at best price. Pro - trusted brand.
55,Pro Jacket Pro,pro-jacket-pro,Clothing,High-quality Pro Jacket Pro from Pro. Perfect for everyday use with premium features. Available in multiple colors and sizes.,225.57,260.08,24,Pro,CLO-PRO-00055,True,False,"Pro Jacket Pro, Clothing, Pro, affordable, quality",Buy Pro Jacket Pro online. Premium quality product at best price. Pro - trusted brand.
56,BrandX Polo Plus,brandx-polo-plus,Clothing,High-quality BrandX Polo Plus from BrandX. Perfect for everyday use with premium features. Available in multiple colors and sizes.,57.65,65.08,69,BrandX,CLO-BRA-00056,True,True,"BrandX Polo Plus, Clothing, BrandX, affordable, quality",Buy BrandX Polo Plus online. Premium quality product at best price. BrandX - trusted brand.
57,value Dress Premium,value-dress-premium,Clothing,High-quality value Dress Premium from value. Perfect for everyday use with premium features. Available in multiple colors and sizes.,349.73,391.57,30,value,CLO-VAL-00057,True,False,"value Dress Premium, Clothing, value, affordable, quality",Buy value Dress Premium online. Premium quality product at best price. value - trusted brand.
58,Organic Sweater Max,organic-sweater-max,Clothing,High-quality Organic Sweater Max from Organic. Perfect for everyday use with premium features. Available in multiple colors and sizes.,443.61,660.96,72,Organic,CLO-ORG-00058,True,False,"Organic Sweater Max, Clothing, Organic, affordable, quality",Buy Organic Sweater Max online. Premium quality product at best price. Organic - trusted brand.
59,Ultra Jacket Max,ultra-jacket-max,Clothing,High-quality Ultra Jacket Max from Ultra. Perfect for everyday use with premium features. Available in multiple colors and sizes.,479.44,543.22,10,Ultra,CLO-ULT-00059,True,False,"Ultra Jacket Max, Clothing, Ultra, affordable, quality",Buy Ultra Jacket Max online. Premium quality product at best price. Ultra - trusted brand.
60,ProMax Blazer,promax-blazer,Clothing,High-quality ProMax Blazer from ProMax. Perfect for everyday use with premium features. Available in multiple colors and sizes.,64.7,88.35,8,ProMax,CLO-PRO-00060,True,False,"ProMax Blazer, Clothing, ProMax, affordable, quality",Buy ProMax Blazer online. Premium quality product at best price. ProMax - trusted brand.
61,eco Cardigan Max,eco-cardigan-max,Clothing,High-quality eco Cardigan Max from eco. Perfect for everyday use with premium features. Available in multiple colors and sizes.,191.5,274.67,9,eco,CLO-ECO-00061,True,False,"eco Cardigan Max, Clothing, eco, affordable, quality",Buy eco Cardigan Max online. Premium quality product at best price. eco - trusted brand.
62,tech Shirt Ultra,tech-shirt-ultra,Clothing,High-quality tech Shirt Ultra from tech. Perfect for everyday use with premium features. Available in multiple colors and sizes.,416.01,555.74,6,tech,CLO-TEC-00062,True,False,"tech Shirt Ultra, Clothing, tech, affordable, quality",Buy tech Shirt Ultra online. Premium quality product at best price. tech - trusted brand.
63,Premium Hoodie Max,premium-hoodie-max,Clothing,High-quality Premium Hoodie Max from Premium. Perfect for everyday use with premium features. Available in multiple colors and sizes.,78.94,97.25,27,Premium,CLO-PRE-00063,True,False,"Premium Hoodie Max, Clothing, Premium, affordable, quality",Buy Premium Hoodie Max online. Premium quality product at best price. Premium - trusted brand.
64,basic Sweater Standard,basic-sweater-standard,Clothing,High-quality basic Sweater Standard from basic. Perfect for everyday use with premium features. Available in multiple colors and sizes.,337.74,417.18,15,basic,CLO-BAS-00064,True,True,"basic Sweater Standard, Clothing, basic, affordable, quality",Buy basic Sweater Standard online. Premium quality product at best price. basic - trusted brand.
65,Organic Leggings,organic-leggings,Clothing,High-quality Organic Leggings from Organic. Perfect for everyday use with premium features. Available in multiple colors and sizes.,273.34,311.49,94,Organic,CLO-ORG-00065,True,True,"Organic Leggings, Clothing, Organic, affordable, quality",Buy Organic Leggings online. Premium quality product at best price. Organic - trusted brand.
66,Premium Dress,premium-dress,Clothing,High-quality Premium Dress from Premium. Perfect for everyday use with premium features. Available in multiple colors and sizes.,444.85,660.94,3,Premium,CLO-PRE-00066,False,False,"Premium Dress, Clothing, Premium, affordable, quality",Buy Premium Dress online. Premium quality product at best price. Premium - trusted brand.
67,basic Toaster Plus,basic-toaster-plus,Home & Kitchen,High-quality basic Toaster Plus from basic. Perfect for everyday use with premium features. Available in multiple colors and sizes.,285.95,334.63,43,basic,HOM-BAS-00067,True,False,"basic Toaster Plus, Home & Kitchen, basic, affordable, quality",Buy basic Toaster Plus online. Premium quality product at best price. basic - trusted brand.
68,Natural Pillow Max,natural-pillow-max,Home & Kitchen,High-quality Natural Pillow Max from Natural. Perfect for everyday use with premium features. Available in multiple colors and sizes.,166.07,210.31,13,Natural,HOM-NAT-00068,False,False,"Natural Pillow Max, Home & Kitchen, Natural, affordable, quality",Buy Natural Pillow Max online. Premium quality product at best price. Natural - trusted brand.
69,BrandX Blender Standard,brandx-blender-standard,Home & Kitchen,High-quality BrandX Blender Standard from BrandX. Perfect for everyday use with premium features. Available in multiple colors and sizes.,200.98,242.98,55,BrandX,HOM-BRA-00069,True,False,"BrandX Blender Standard, Home & Kitchen, BrandX, affordable, quality",Buy BrandX Blender Standard online. Premium quality product at best price. BrandX - trusted brand.
70,ProMax Bedsheet Standard,promax-bedsheet-standard,Home & Kitchen,High-quality ProMax Bedsheet Standard from ProMax. Perfect for everyday use with premium features. Available in multiple colors and sizes.,367.39,551.04,34,ProMax,HOM-PRO-00070,False,False,"ProMax Bedsheet Standard, Home & Kitchen, ProMax, affordable, quality",Buy ProMax Bedsheet Standard online. Premium quality product at best price. ProMax - trusted brand.
71,BrandX Toaster Pro,brandx-toaster-pro,Home & Kitchen,High-quality BrandX Toaster Pro from BrandX. Perfect for everyday use with premium features. Available in multiple colors and sizes.,490.29,540.88,83,BrandX,HOM-BRA-00071,True,True,"BrandX Toaster Pro, Home & Kitchen, BrandX, affordable, quality",Buy BrandX Toaster Pro online. Premium quality product at best price. BrandX - trusted brand.
72,eco Pillow Standard,eco-pillow-standard,Home & Kitchen,High-quality eco Pillow Standard from eco. Perfect for everyday use with premium features. Available in multiple colors and sizes.,299.88,430.82,21,eco,HOM-ECO-00072,True,False,"eco Pillow Standard, Home & Kitchen, eco, affordable, quality",Buy eco Pillow Standard online. Premium quality product at best price. eco - trusted brand.
73,ProMax Lamp Standard,promax-lamp-standard,Home & Kitchen,High-quality ProMax Lamp Standard from ProMax. Perfect for everyday use with premium features. Available in multiple colors and sizes.,16.3,21.25,50,ProMax,HOM-PRO-00073,False,False,"ProMax Lamp Standard, Home & Kitchen, ProMax, affordable, quality",Buy ProMax Lamp Standard online. Premium quality product at best price. ProMax - trusted brand.
74,value Air Fryer Ultra,value-air-fryer-ultra,Home & Kitchen,High-quality value Air Fryer Ultra from value. Perfect for everyday use with premium features. Available in multiple colors and sizes.,435.4,523.49,81,value,HOM-VAL-00074,False,False,"value Air Fryer Ultra, Home & Kitchen, value, affordable, quality",Buy value Air Fryer Ultra online. Premium quality product at best price. value - trusted brand.
75,Classic Coffee Maker Pro,classic-coffee-maker-pro,Home & Kitchen,High-quality Classic Coffee Maker Pro from Classic. Perfect for everyday use with premium features. Available in multiple colors and sizes.,90.0,133.0,40,Classic,HOM-CLA-00075,True,False,"Classic Coffee Maker Pro, Home & Kitchen, Classic, affordable, quality",Buy Classic Coffee Maker Pro online. Premium quality product at best price. Classic - trusted brand.
76,tech Microwave Lite,tech-microwave-lite,Home & Kitchen,High-quality tech Microwave Lite from tech. Perfect for everyday use with premium features. Available in multiple colors and sizes.,485.88,672.92,70,tech,HOM-TEC-00076,True,False,"tech Microwave Lite, Home & Kitchen, tech, affordable, quality",Buy tech Microwave Lite online. Premium quality product at best price. tech - trusted brand.
77,style Microwave Premium,style-microwave-premium,Home & Kitchen,High-quality style Microwave Premium from style. Perfect for everyday use with premium features. Available in multiple colors and sizes.,427.36,524.41,11,style,HOM-STY-00077,True,True,"style Microwave Premium, Home & Kitchen, style, affordable, quality",Buy style Microwave Premium online. Premium quality product at best price. style - trusted brand.
78,tech Curtains Ultra,tech-curtains-ultra,Home & Kitchen,High-quality tech Curtains Ultra from tech. Perfect for everyday use with premium features. Available in multiple colors and sizes.,470.08,697.31,67,tech,HOM-TEC-00078,True,False,"tech Curtains Ultra, Home & Kitchen, tech, affordable, quality",Buy tech Curtains Ultra online. Premium quality product at best price. tech - trusted brand.
79,eco Lamp Ultra,eco-lamp-ultra,Home & Kitchen,High-quality eco Lamp Ultra from eco. Perfect for everyday use with premium features. Available in multiple colors and sizes.,32.39,46.16,43,eco,HOM-ECO-00079,True,False,"eco Lamp Ultra, Home & Kitchen, eco, affordable, quality",Buy eco Lamp Ultra online. Premium quality product at best price. eco - trusted brand.
80,Pro Toaster Standard,pro-toaster-standard,Home & Kitchen,High-quality Pro Toaster Standard from Pro. Perfect for everyday use with premium features. Available in multiple colors and sizes.,14.29,15.76,1,Pro,HOM-PRO-00080,False,False,"Pro Toaster Standard, Home & Kitchen, Pro, affordable, quality",Buy Pro Toaster Standard online. Premium quality product at best price. Pro - trusted brand.
